               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  84,            0.021964,            0.014901,           0.0017977,             0.87355,             0.83814,             0.86418,             0.66995,            0.019345,           0.0061543,            0.001441,            0.007261,            0.007261,            0.007261
                  85,            0.022269,             0.01481,           0.0021309,             0.87364,              0.8374,             0.86388,             0.66811,            0.019288,           0.0061138,           0.0014585,            0.007228,            0.007228,            0.007228
                  86,            0.021985,            0.014766,           0.0018418,             0.87889,             0.83809,             0.86352,             0.66835,            0.019262,           0.0061175,           0.0014971,            0.007195,            0.007195,            0.007195
                  87,            0.022046,            0.014911,           0.0021195,             0.88626,             0.83535,             0.86631,              0.6711,            0.019255,           0.0061316,           0.0015058,            0.007162,            0.007162,            0.007162
                  88,            0.022234,             0.01511,           0.0021421,             0.88951,             0.83394,             0.86559,             0.66993,            0.019315,           0.0061343,           0.0015151,            0.007129,            0.007129,            0.007129
                  89,            0.022122,             0.01483,           0.0019443,             0.88958,             0.83312,             0.86605,             0.67144,            0.019374,           0.0061342,            0.001459,            0.007096,            0.007096,            0.007096
                  90,            0.022054,            0.014743,           0.0018488,             0.88602,             0.83887,             0.86516,             0.67055,            0.019408,           0.0061299,           0.0014469,            0.007063,            0.007063,            0.007063
                  91,            0.021685,            0.014617,           0.0012592,             0.88005,             0.84029,             0.86531,             0.67167,            0.019373,           0.0061211,           0.0014303,             0.00703,             0.00703,             0.00703
                  92,            0.021795,             0.01453,             0.00155,             0.87811,             0.83978,              0.8662,             0.67379,            0.019286,           0.0061103,           0.0013916,            0.006997,            0.006997,            0.006997
                  93,             0.02187,            0.014857,           0.0020411,               0.888,             0.83294,              0.8668,             0.67444,            0.019247,           0.0061064,           0.0013372,            0.006964,            0.006964,            0.006964
                  94,            0.021649,            0.014602,           0.0019513,             0.88016,             0.84111,              0.8674,             0.67594,            0.019245,           0.0061091,           0.0013386,            0.006931,            0.006931,            0.006931
                  95,            0.021795,            0.014962,           0.0022303,             0.88051,             0.83635,             0.86688,             0.67714,            0.019203,            0.006112,           0.0013696,            0.006898,            0.006898,            0.006898
                  96,            0.022484,            0.015193,           0.0028084,             0.88133,             0.83536,             0.86803,             0.67607,            0.019168,            0.006134,           0.0014246,            0.006865,            0.006865,            0.006865
                  97,            0.021921,            0.014695,           0.0018806,             0.88381,             0.83119,             0.86619,              0.6756,            0.019168,            0.006148,           0.0014773,            0.006832,            0.006832,            0.006832
                  98,            0.022036,            0.014906,           0.0020533,             0.87841,             0.83082,             0.86356,             0.67492,            0.019104,           0.0061473,           0.0014696,            0.006799,            0.006799,            0.006799
                  99,            0.021905,            0.014699,           0.0015276,             0.88304,             0.82895,             0.86282,             0.67283,            0.019049,           0.0061412,           0.0014826,            0.006766,            0.006766,            0.006766
                 100,            0.021847,            0.014585,           0.0016383,             0.86939,             0.83736,             0.86218,             0.67305,            0.018969,           0.0061366,             0.00151,            0.006733,            0.006733,            0.006733
